timestamp,user_id,message,response_time,sentiment
2023-10-01 10:00:00,1,"Hello, how can I help you?",5,positive
2023-10-01 10:01:00,2,"What are your hours?",3,neutral
2023-10-01 10:02:00,1,"We are open from 9 to 5.",4,positive
2023-10-01 10:03:00,3,"I need help with my order.",6,negative
2023-10-01 10:04:00,1,"Sure, let me check that for you.",5,positive
2023-10-01 10:05:00,2,"Thank you!",2,positive
2023-10-01 10:06:00,4,"Can I return an item?",4,neutral
2023-10-01 10:07:00,1,"Yes, within 30 days.",3,positive
2023-10-01 10:08:00,5,"Do you offer discounts?",5,neutral
2023-10-01 10:09:00,1,"We have seasonal sales.",4,positive
2023-10-01 10:10:00,6,"Where is my order?",7,negative
2023-10-01 10:11:00,1,"Let me track that for you.",5,positive
2023-10-01 10:12:00,7,"How do I contact support?",3,neutral
2023-10-01 10:13:00,1,"You can email us anytime.",4,positive
2023-10-01 10:14:00,8,"Is this product available?",2,neutral
2023-10-01 10:15:00,1,"Yes, it is in stock.",3,positive
2023-10-01 10:16:00,9,"I have a complaint.",8,negative
2023-10-01 10:17:00,1,"I'm sorry to hear that. How can I assist?",6,neutral
2023-10-01 10:18:00,10,"Can I change my order?",4,neutral
2023-10-01 10:19:00,1,"Yes, you can modify it online.",5,positive
2023-10-01 10:20:00,11,"What payment methods do you accept?",3,neutral
2023-10-01 10:21:00,1,"We accept all major credit cards.",4,positive
2023-10-01 10:22:00,12,"How long is the warranty?",5,neutral
2023-10-01 10:23:00,1,"One year from the purchase date.",4,positive
2023-10-01 10:24:00,13,"Can I get a refund?",6,negative
2023-10-01 10:25:00,1,"Refunds are processed within 7 days.",5,positive
2023-10-01 10:26:00,14,"Is there a store near me?",3,neutral
2023-10-01 10:27:00,1,"Check our store locator online.",4,positive
2023-10-01 10:28:00,15,"I love your products!",2,positive
2023-10-01 10:29:00,1,"Thank you for your support!",3,positive
2023-10-01 10:30:00,16,"How do I reset my password?",4,neutral
2023-10-01 10:31:00,1,"Use the 'Forgot Password' link.",5,positive
2023-10-01 10:32:00,17,"Can I speak to a human?",7,negative
2023-10-01 10:33:00,1,"Sure, let me connect you.",6,neutral
2023-10-01 10:34:00,18,"What is your return policy?",3,neutral
2023-10-01 10:35:00,1,"Returns are accepted within 30 days.",4,positive
2023-10-01 10:36:00,19,"Do you ship internationally?",5,neutral
2023-10-01 10:37:00,1,"Yes, we ship worldwide.",4,positive
2023-10-01 10:38:00,20,"How do I track my order?",3,neutral
2023-10-01 10:39:00,1,"Use the tracking link in your email.",4,positive
2023-10-01 10:40:00,21,"I received the wrong item.",8,negative
2023-10-01 10:41:00,1,"I'm sorry, we'll fix that immediately.",6,neutral
2023-10-01 10:42:00,22,"Can I cancel my order?",4,neutral
2023-10-01 10:43:00,1,"Yes, within 24 hours of purchase.",5,positive
2023-10-01 10:44:00,23,"What is your privacy policy?",3,neutral
2023-10-01 10:45:00,1,"You can read it on our website.",4,positive
2023-10-01 10:46:00,24,"How do I apply a promo code?",5,neutral
2023-10-01 10:47:00,1,"Enter it at checkout.",4,positive
2023-10-01 10:48:00,25,"Is there a warranty on this?",6,neutral
2023-10-01 10:49:00,1,"Yes, a one-year warranty is included.",5,positive
